,EMD_NM,건물노후도점수,지상층수점수,지하층수점수,주용도점수,구조점수,비상용승강기점수,소방서거리점수,소방용수시설거리점수
85,봉무동,2.558421851289833,1.2655538694992412,0.19423368740515934,4.095599393019727,1.676783004552352,4.726858877086495,1.2883156297420333,3.276176024279211
86,봉산동,3.942078364565588,1.112436115843271,0.22487223168654175,3.787052810902896,2.536626916524702,4.982964224872232,1.0,2.0102214650766608
87,부계면,2.954522486104093,1.0015159171298635,0.019706922688226377,3.7392622536634663,2.922688226376958,5.0,3.0389085396664983,4.702374936836787
88,부동,2.975609756097561,0.9969512195121951,0.021341463414634148,3.7591463414634148,2.7957317073170733,5.0,1.8902439024390243,4.265243902439025
89,북내동,4.111111111111111,1.0555555555555556,0.16666666666666666,3.4722222222222223,2.9722222222222223,4.972222222222222,1.0,1.4444444444444444
90,북성로1가,4.7701149425287355,1.0919540229885059,0.1839080459770115,5.413793103448276,3.0344827586206895,4.988505747126437,1.0,1.896551724137931
91,북성로2가,4.448275862068965,1.0,0.20689655172413793,5.103448275862069,3.0172413793103448,5.0,1.0,2.086206896551724
92,불로동,3.740620957309185,1.0485122897800776,0.148124191461837,2.8247089262613194,2.7082794307891334,4.994825355756792,1.7710219922380337,3.118369987063389
93,비산동,4.047891411985658,1.0400375618917534,0.10739286324056685,2.807580672699334,3.0725627454328155,4.998463377155541,1.037135052074441,2.3765579648284105
94,사복동,1.7962962962962963,1.1728395061728396,0.19135802469135801,3.080246913580247,0.691358024691358,4.716049382716049,3.006172839506173,4.765432098765432
95,사수동,1.5,1.5384615384615385,0.42657342657342656,2.9125874125874125,0.27972027972027974,4.580419580419581,1.2692307692307692,3.6713286713286712
96,사월동,2.5868544600938965,1.4366197183098592,0.37089201877934275,3.5258215962441315,1.2065727699530517,4.652582159624413,1.9389671361502347,4.384976525821596
97,사일동,4.611111111111111,1.1666666666666667,0.7777777777777778,5.0,0.5555555555555556,4.944444444444445,1.0,2.3333333333333335
98,산격동,3.912079953650058,1.0431633835457705,0.2156720741599073,3.1235515643105445,2.6687427578215526,4.987253765932793,1.5944380069524913,2.750289687137891
99,산성면,3.43986543313709,0.9991589571068125,0.004205214465937763,3.374264087468461,3.4070647603027755,5.0,3.208578637510513,4.414634146341464
100,삼국유사면,3.229869236063317,1.0,0.009635237439779766,3.5505849965588436,3.23331039229181,5.0,4.913971094287681,4.746730901582932
101,삼덕동,2.640449438202247,1.0056179775280898,0.05056179775280899,3.0280898876404496,2.50561797752809,5.0,2.0,3.9269662921348316
102,삼덕동1가,3.931297709923664,1.1641221374045803,0.46946564885496184,4.904580152671755,1.965648854961832,5.0,1.0,2.3244274809160306
103,삼덕동2가,3.1439205955334986,1.2928039702233252,0.32754342431761785,3.7568238213399505,1.411910669975186,4.9528535980148884,1.0,2.2878411910669976
104,삼덕동3가,3.655493482309125,1.0670391061452513,0.1713221601489758,3.1675977653631286,2.51024208566108,4.973929236499069,1.0986964618249535,2.169459962756052
105,상덕동,4.944444444444445,1.0555555555555556,0.2222222222222222,5.055555555555555,0.8333333333333334,5.0,1.0,1.0555555555555556
