Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
89422,대구광역시 달성군 논공읍 남리 665번지,1,0,4.0,벽돌구조,벽돌구조,단독주택,0,2005,35.7250102353503,128.450890496736
89423,대구광역시 달성군 논공읍 남리 666번지,1,0,4.8,철근콘크리트구조,철근콘크리트구조,단독주택,0,2006,35.7248758252505,128.450774559713
89424,대구광역시 달성군 논공읍 남리 667-2번지,1,0,0.0,벽돌구조,세멘벽돌조,단독주택,0,1950,35.7249462661715,128.450538007804
89425,대구광역시 달성군 논공읍 남리 667-3번지,1,0,3.8,경량철골구조,경량철골구조,단독주택,0,2004,35.7248362935253,128.450256299441
89426,대구광역시 달성군 논공읍 남리 667-6번지,1,0,6.3,일반철골구조,일반철골구조,단독주택,0,2016,35.7246406968423,128.450655802094
89427,대구광역시 달성군 논공읍 남리 668-2번지,2,0,0.0,벽돌구조,시멘벽돌,단독주택,0,1985,35.7249458498701,128.450079139894
89428,대구광역시 달성군 논공읍 남리 670-1번지,2,0,7.95,벽돌구조,시멘벽돌,단독주택,0,1996,35.7252932880016,128.450472685695
89429,대구광역시 달성군 논공읍 남리 670-2번지,4,0,12.45,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,35.7251103731578,128.450410795875
89430,대구광역시 달성군 논공읍 남리 670-3번지,1,0,0.0,일반목구조,목조,단독주택,0,1945,35.7250583383844,128.450638067284
89431,대구광역시 달성군 논공읍 남리 671번지,1,0,0.0,일반목구조,목조,단독주택,0,1950,35.7252198221384,128.450691059221
89432,대구광역시 달성군 논공읍 남리 673번지,1,0,0.0,일반목구조,목조,단독주택,0,,35.7253555273555,128.450699598501
89433,대구광역시 달성군 논공읍 남리 675번지,2,0,5.2,철근콘크리트구조,철근콘크리트구조,단독주택,0,2003,35.7256257698825,128.450544471385
89434,대구광역시 달성군 논공읍 남리 676-1번지,1,0,0.0,기타조적구조,조적조,단독주택,0,1996,35.7255234477561,128.45045044544
89435,대구광역시 달성군 논공읍 남리 676-2번지,1,0,3.5,벽돌구조,벽돌구조,단독주택,0,2004,35.7254096960106,128.450213094116
89436,대구광역시 달성군 논공읍 남리 676-3번지,1,0,4.9,벽돌구조,(조적조)벽돌조,단독주택,0,2003,35.725387101655,128.450053983381
89437,대구광역시 달성군 논공읍 남리 676-6번지,1,0,6.8,경량철골구조,경량철골구조,단독주택,0,2015,35.7257104343628,128.450324089322
89438,대구광역시 달성군 논공읍 남리 676-7번지,1,0,0.0,일반목구조,목조,단독주택,0,1950,35.7257621910443,128.449910479772
